PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,01010110,01100101,10011010,10101001,10101010
"(85, 152)",2.0,"(0, 1)","[(85, 152), (127, 154)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(127, 154)",2.0,"(0, 6)","[(85, 152), (66, 134)]",00 - M,01 - B,00 - M,11 - M,10 - B,11 - M
"(140, 142)",2.0,"(0, 7)","[(85, 152), (16, 102)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(240, 105)",2.0,"(1, 2)","[(127, 154), (140, 142)]",10 - B,10 - B,11 - M,00 - M,01 - B,01 - B
"(147, 111)",2.0,"(1, 3)","[(127, 154), (240, 105)]",11 - M,11 - M,10 - B,01 - B,00 - M,00 - M
"(104, 136)",2.0,"(2, 3)","[(140, 142), (240, 105)]",01 - B,01 - B,10 - B,01 - B,10 - B,10 - B
"(66, 134)",2.0,"(3, 4)","[(240, 105), (147, 111)]",10 - B,10 - B,00 - M,11 - M,01 - B,01 - B
"(16, 102)",2.0,"(3, 7)","[(240, 105), (16, 102)]",11 - M,10 - B,01 - B,10 - B,01 - B,00 - M
,2.0,"(4, 7)","[(147, 111), (16, 102)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
,2.0,"(6, 7)","[(66, 134), (16, 102)]",01 - B,10 - B,01 - B,10 - B,01 - B,10 - B
,3.0,"(0, 1, 2)","[(85, 152), (127, 154), (140, 142)]",010 - I,010 - I,011 - I,100 - I,101 - I,101 - I
,3.0,"(0, 1, 6)","[(85, 152), (127, 154), (66, 134)]",010 - I,011 - I,010 - I,101 - I,100 - I,101 - I
,3.0,"(0, 6, 7)","[(85, 152), (66, 134), (16, 102)]",001 - I,010 - I,001 - I,110 - I,101 - I,110 - I
,3.0,"(1, 2, 3)","[(127, 154), (140, 142), (240, 105)]",101 - I,101 - I,110 - I,001 - I,010 - I,010 - I
,3.0,"(2, 3, 4)","[(140, 142), (240, 105), (147, 111)]",010 - I,010 - I,100 - I,011 - I,101 - I,101 - I
,3.0,"(3, 4, 7)","[(240, 105), (147, 111), (16, 102)]",101 - I,100 - I,001 - I,110 - I,011 - I,010 - I
,3.0,"(4, 6, 7)","[(147, 111), (66, 134), (16, 102)]",001 - I,010 - I,001 - I,110 - I,101 - I,110 - I
,3.0,"(5, 6, 7)","[(104, 136), (66, 134), (16, 102)]",101 - I,110 - I,101 - I,010 - I,001 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(85, 152), (127, 154), (140, 142), (240, 105)]",0101 - B,0101 - B,0110 - B,1001 - B,1010 - B,1010 - B
,4.0,"(0, 1, 2, 5)","[(85, 152), (127, 154), (140, 142), (104, 136)]",0101 - B,0101 - B,0111 - I,1000 - I,1010 - B,1010 - B
,4.0,"(0, 1, 2, 6)","[(85, 152), (127, 154), (140, 142), (66, 134)]",0100 - I,0101 - B,0110 - B,1001 - B,1010 - B,1011 - I
,4.0,"(0, 1, 5, 6)","[(85, 152), (127, 154), (104, 136), (66, 134)]",0110 - B,0111 - I,0110 - B,1001 - B,1000 - I,1001 - B
,4.0,"(0, 1, 6, 7)","[(85, 152), (127, 154), (66, 134), (16, 102)]",0101 - B,0110 - B,0101 - B,1010 - B,1001 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(85, 152), (104, 136), (66, 134), (16, 102)]",0101 - B,0110 - B,0101 - B,1010 - B,1001 - B,1010 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
