PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,01100101,10011010,10110010
"(127, 192)",2.0,"(0, 1)","[(127, 192), (229, 149)]",01 - B,01 - B,10 - B,10 - B
"(229, 149)",2.0,"(0, 4)","[(127, 192), (118, 152)]",01 - B,00 - M,11 - M,10 - B
"(150, 133)",2.0,"(0, 5)","[(127, 192), (100, 142)]",01 - B,01 - B,10 - B,10 - B
"(136, 116)",2.0,"(0, 7)","[(127, 192), (22, 59)]",01 - B,01 - B,10 - B,10 - B
"(118, 152)",2.0,"(1, 2)","[(229, 149), (150, 133)]",10 - B,11 - M,00 - M,01 - B
"(100, 142)",2.0,"(1, 3)","[(229, 149), (136, 116)]",10 - B,10 - B,01 - B,01 - B
"(70, 101)",2.0,"(1, 7)","[(229, 149), (22, 59)]",11 - M,11 - M,00 - M,00 - M
"(22, 59)",2.0,"(3, 7)","[(136, 116), (22, 59)]",01 - B,01 - B,10 - B,10 - B
,2.0,"(6, 7)","[(70, 101), (22, 59)]",01 - B,01 - B,10 - B,10 - B
,3.0,"(0, 1, 2)","[(127, 192), (229, 149), (150, 133)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 1, 4)","[(127, 192), (229, 149), (118, 152)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(0, 4, 5)","[(127, 192), (118, 152), (100, 142)]",011 - I,001 - I,110 - I,100 - I
,3.0,"(0, 5, 7)","[(127, 192), (100, 142), (22, 59)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(127, 192), (70, 101), (22, 59)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(1, 2, 3)","[(229, 149), (150, 133), (136, 116)]",100 - I,110 - I,001 - I,011 - I
,3.0,"(1, 3, 7)","[(229, 149), (136, 116), (22, 59)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(3, 6, 7)","[(136, 116), (70, 101), (22, 59)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(5, 6, 7)","[(100, 142), (70, 101), (22, 59)]",101 - I,101 - I,010 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(127, 192), (229, 149), (150, 133), (136, 116)]",0100 - I,0110 - B,1001 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(127, 192), (229, 149), (150, 133), (118, 152)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 1, 4, 5)","[(127, 192), (229, 149), (118, 152), (100, 142)]",0111 - I,0101 - B,1010 - B,1000 - I
,4.0,"(0, 2, 4, 5)","[(127, 192), (150, 133), (118, 152), (100, 142)]",0011 - B,0101 - B,1010 - B,1100 - B
,4.0,"(0, 4, 5, 6)","[(127, 192), (118, 152), (100, 142), (70, 101)]",0110 - B,0010 - I,1101 - I,1001 - B
,4.0,"(0, 4, 5, 7)","[(127, 192), (118, 152), (100, 142), (22, 59)]",0111 - I,0011 - B,1100 - B,1000 - I
,4.0,"(0, 5, 6, 7)","[(127, 192), (100, 142), (70, 101), (22, 59)]",0101 - B,0101 - B,1010 - B,1010 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
