PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,00110110,01010011,01100101,10011010,10101100,11001001
"(5, 30)",2.0,"(0, 1)","[(5, 30), (57, 243)]",00 - M,01 - B,01 - B,10 - B,10 - B,11 - M
"(57, 243)",2.0,"(0, 2)","[(5, 30), (54, 129)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(54, 129)",2.0,"(0, 6)","[(5, 30), (126, 49)]",01 - B,01 - B,00 - M,11 - M,10 - B,10 - B
"(158, 195)",2.0,"(0, 7)","[(5, 30), (224, 12)]",00 - M,01 - B,01 - B,10 - B,10 - B,11 - M
"(250, 198)",2.0,"(1, 2)","[(57, 243), (54, 129)]",01 - B,10 - B,11 - M,00 - M,01 - B,10 - B
"(211, 111)",2.0,"(1, 3)","[(57, 243), (158, 195)]",01 - B,11 - M,10 - B,01 - B,00 - M,10 - B
"(126, 49)",2.0,"(1, 4)","[(57, 243), (250, 198)]",00 - M,10 - B,10 - B,01 - B,01 - B,11 - M
"(224, 12)",2.0,"(3, 4)","[(158, 195), (250, 198)]",10 - B,10 - B,00 - M,11 - M,01 - B,01 - B
,2.0,"(4, 5)","[(250, 198), (211, 111)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
,2.0,"(4, 7)","[(250, 198), (224, 12)]",00 - M,01 - B,01 - B,10 - B,10 - B,11 - M
,2.0,"(5, 7)","[(211, 111), (224, 12)]",10 - B,01 - B,11 - M,00 - M,10 - B,01 - B
,2.0,"(6, 7)","[(126, 49), (224, 12)]",10 - B,11 - M,01 - B,10 - B,00 - M,01 - B
,3.0,"(0, 1, 2)","[(5, 30), (57, 243), (54, 129)]",001 - I,010 - I,011 - I,100 - I,101 - I,110 - I
,3.0,"(0, 2, 6)","[(5, 30), (54, 129), (126, 49)]",011 - I,001 - I,010 - I,101 - I,110 - I,100 - I
,3.0,"(0, 6, 7)","[(5, 30), (126, 49), (224, 12)]",010 - I,011 - I,001 - I,110 - I,100 - I,101 - I
,3.0,"(1, 2, 3)","[(57, 243), (54, 129), (158, 195)]",011 - I,101 - I,110 - I,001 - I,010 - I,100 - I
,3.0,"(1, 3, 4)","[(57, 243), (158, 195), (250, 198)]",010 - I,110 - I,100 - I,011 - I,001 - I,101 - I
,3.0,"(3, 4, 5)","[(158, 195), (250, 198), (211, 111)]",101 - I,100 - I,001 - I,110 - I,011 - I,010 - I
,3.0,"(4, 5, 7)","[(250, 198), (211, 111), (224, 12)]",010 - I,001 - I,011 - I,100 - I,110 - I,101 - I
,3.0,"(5, 6, 7)","[(211, 111), (126, 49), (224, 12)]",110 - I,011 - I,101 - I,010 - I,100 - I,001 - I
,4.0,"(0, 1, 2, 3)","[(5, 30), (57, 243), (54, 129), (158, 195)]",0011 - B,0101 - B,0110 - B,1001 - B,1010 - B,1100 - B
,4.0,"(0, 1, 2, 6)","[(5, 30), (57, 243), (54, 129), (126, 49)]",0011 - B,0101 - B,0110 - B,1001 - B,1010 - B,1100 - B
,4.0,"(0, 2, 6, 7)","[(5, 30), (54, 129), (126, 49), (224, 12)]",0110 - B,0011 - B,0101 - B,1010 - B,1100 - B,1001 - B
,4.0,"(0, 5, 6, 7)","[(5, 30), (211, 111), (126, 49), (224, 12)]",0110 - B,0011 - B,0101 - B,1010 - B,1100 - B,1001 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
