PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010110,01011001,01011010,10100101,10100110,10101001,10101100
"(254, 200)",2.0,"(0, 1)","[(254, 200), (57, 56)]",01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B
"(57, 56)",2.0,"(0, 3)","[(254, 200), (188, 160)]",01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B
"(121, 111)",2.0,"(0, 6)","[(254, 200), (128, 162)]",01 - B,01 - B,00 - M,01 - B,10 - B,11 - M,10 - B,10 - B
"(188, 160)",2.0,"(0, 7)","[(254, 200), (2, 140)]",01 - B,00 - M,01 - B,00 - M,11 - M,10 - B,11 - M,10 - B
"(124, 148)",2.0,"(1, 2)","[(57, 56), (121, 111)]",10 - B,10 - B,10 - B,10 - B,01 - B,01 - B,01 - B,01 - B
"(23, 118)",2.0,"(1, 5)","[(57, 56), (23, 118)]",10 - B,11 - M,10 - B,10 - B,01 - B,01 - B,00 - M,01 - B
"(128, 162)",2.0,"(1, 7)","[(57, 56), (2, 140)]",11 - M,10 - B,11 - M,10 - B,01 - B,00 - M,01 - B,00 - M
"(2, 140)",2.0,"(5, 7)","[(23, 118), (2, 140)]",01 - B,10 - B,01 - B,00 - M,11 - M,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(128, 162), (2, 140)]",11 - M,10 - B,01 - B,10 - B,01 - B,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(254, 200), (57, 56), (121, 111)]",010 - I,010 - I,010 - I,010 - I,101 - I,101 - I,101 - I,101 - I
,3.0,"(0, 1, 3)","[(254, 200), (57, 56), (188, 160)]",011 - I,011 - I,011 - I,011 - I,100 - I,100 - I,100 - I,100 - I
,3.0,"(0, 2, 3)","[(254, 200), (121, 111), (188, 160)]",001 - I,001 - I,001 - I,001 - I,110 - I,110 - I,110 - I,110 - I
,3.0,"(0, 3, 6)","[(254, 200), (188, 160), (128, 162)]",011 - I,011 - I,010 - I,011 - I,100 - I,101 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(254, 200), (128, 162), (2, 140)]",011 - I,010 - I,001 - I,010 - I,101 - I,110 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(57, 56), (121, 111), (188, 160)]",101 - I,101 - I,101 - I,101 - I,010 - I,010 - I,010 - I,010 - I
,3.0,"(1, 2, 5)","[(57, 56), (121, 111), (23, 118)]",100 - I,101 - I,100 - I,100 - I,011 - I,011 - I,010 - I,011 - I
,3.0,"(1, 5, 7)","[(57, 56), (23, 118), (2, 140)]",101 - I,110 - I,101 - I,100 - I,011 - I,010 - I,001 - I,010 - I
,3.0,"(5, 6, 7)","[(23, 118), (128, 162), (2, 140)]",011 - I,110 - I,001 - I,010 - I,101 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(254, 200), (57, 56), (121, 111), (188, 160)]",0101 - B,0101 - B,0101 - B,0101 - B,1010 - B,1010 - B,1010 - B,1010 - B
,4.0,"(0, 2, 3, 4)","[(254, 200), (121, 111), (188, 160), (124, 148)]",0010 - I,0010 - I,0011 - B,0011 - B,1100 - B,1100 - B,1101 - I,1101 - I
,4.0,"(0, 2, 3, 6)","[(254, 200), (121, 111), (188, 160), (128, 162)]",0011 - B,0011 - B,0010 - I,0011 - B,1100 - B,1101 - I,1100 - B,1100 - B
,4.0,"(0, 3, 4, 6)","[(254, 200), (188, 160), (124, 148), (128, 162)]",0101 - B,0101 - B,0110 - B,0111 - I,1000 - I,1001 - B,1010 - B,1010 - B
,4.0,"(0, 3, 6, 7)","[(254, 200), (188, 160), (128, 162), (2, 140)]",0111 - I,0110 - B,0101 - B,0110 - B,1001 - B,1010 - B,1001 - B,1000 - I
,4.0,"(0, 4, 6, 7)","[(254, 200), (124, 148), (128, 162), (2, 140)]",0011 - B,0010 - I,0101 - B,0110 - B,1001 - B,1010 - B,1101 - I,1100 - B
,4.0,"(0, 5, 6, 7)","[(254, 200), (23, 118), (128, 162), (2, 140)]",0011 - B,0110 - B,0001 - I,0010 - I,1101 - I,1110 - I,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,,,
