PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,00110101,11001010
"(8, 224)",2.0,"(0, 1)","[(8, 224), (242, 246)]",00 - M,11 - M
"(242, 246)",2.0,"(0, 2)","[(8, 224), (116, 225)]",01 - B,10 - B
"(116, 225)",2.0,"(0, 5)","[(8, 224), (69, 196)]",01 - B,10 - B
"(182, 212)",2.0,"(0, 6)","[(8, 224), (45, 174)]",00 - M,11 - M
"(118, 189)",2.0,"(0, 7)","[(8, 224), (6, 7)]",01 - B,10 - B
"(69, 196)",2.0,"(1, 2)","[(242, 246), (116, 225)]",01 - B,10 - B
"(45, 174)",2.0,"(1, 3)","[(242, 246), (182, 212)]",01 - B,10 - B
"(6, 7)",2.0,"(1, 7)","[(242, 246), (6, 7)]",01 - B,10 - B
,2.0,"(3, 7)","[(182, 212), (6, 7)]",11 - M,00 - M
,2.0,"(4, 7)","[(118, 189), (6, 7)]",01 - B,10 - B
,2.0,"(6, 7)","[(45, 174), (6, 7)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(8, 224), (242, 246), (116, 225)]",001 - I,110 - I
,3.0,"(0, 2, 5)","[(8, 224), (116, 225), (69, 196)]",011 - I,100 - I
,3.0,"(0, 5, 6)","[(8, 224), (69, 196), (45, 174)]",010 - I,101 - I
,3.0,"(0, 6, 7)","[(8, 224), (45, 174), (6, 7)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(242, 246), (116, 225), (182, 212)]",011 - I,100 - I
,3.0,"(1, 3, 4)","[(242, 246), (182, 212), (118, 189)]",010 - I,101 - I
,3.0,"(1, 3, 7)","[(242, 246), (182, 212), (6, 7)]",011 - I,100 - I
,3.0,"(3, 4, 7)","[(182, 212), (118, 189), (6, 7)]",101 - I,010 - I
,3.0,"(4, 6, 7)","[(118, 189), (45, 174), (6, 7)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(69, 196), (45, 174), (6, 7)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(8, 224), (242, 246), (116, 225), (182, 212)]",0011 - B,1100 - B
,4.0,"(0, 1, 2, 5)","[(8, 224), (242, 246), (116, 225), (69, 196)]",0011 - B,1100 - B
,4.0,"(0, 2, 5, 6)","[(8, 224), (116, 225), (69, 196), (45, 174)]",0110 - B,1001 - B
,4.0,"(0, 5, 6, 7)","[(8, 224), (69, 196), (45, 174), (6, 7)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
