PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010101,01010110,01011001,10100110,10101001,10101010,10101100
"(245, 185)",2.0,"(0, 1)","[(245, 185), (235, 52)]",01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B
"(235, 52)",2.0,"(0, 6)","[(245, 185), (123, 182)]",01 - B,00 - M,01 - B,00 - M,11 - M,10 - B,11 - M,10 - B
"(10, 78)",2.0,"(0, 7)","[(245, 185), (86, 203)]",01 - B,01 - B,00 - M,01 - B,10 - B,11 - M,10 - B,10 - B
"(73, 119)",2.0,"(1, 2)","[(235, 52), (10, 78)]",10 - B,10 - B,10 - B,10 - B,01 - B,01 - B,01 - B,01 - B
"(92, 149)",2.0,"(2, 3)","[(10, 78), (73, 119)]",01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B
"(65, 164)",2.0,"(2, 5)","[(10, 78), (65, 164)]",00 - M,01 - B,01 - B,00 - M,11 - M,10 - B,10 - B,11 - M
"(123, 182)",2.0,"(2, 7)","[(10, 78), (86, 203)]",01 - B,01 - B,00 - M,01 - B,10 - B,11 - M,10 - B,10 - B
"(86, 203)",2.0,"(5, 7)","[(65, 164), (86, 203)]",01 - B,11 - M,10 - B,01 - B,10 - B,01 - B,00 - M,10 - B
,2.0,"(6, 7)","[(123, 182), (86, 203)]",11 - M,01 - B,10 - B,01 - B,10 - B,01 - B,10 - B,00 - M
,3.0,"(0, 1, 2)","[(245, 185), (235, 52), (10, 78)]",010 - I,010 - I,010 - I,010 - I,101 - I,101 - I,101 - I,101 - I
,3.0,"(0, 1, 3)","[(245, 185), (235, 52), (73, 119)]",011 - I,011 - I,011 - I,011 - I,100 - I,100 - I,100 - I,100 - I
,3.0,"(0, 1, 6)","[(245, 185), (235, 52), (123, 182)]",011 - I,010 - I,011 - I,010 - I,101 - I,100 - I,101 - I,100 - I
,3.0,"(0, 6, 7)","[(245, 185), (123, 182), (86, 203)]",011 - I,001 - I,010 - I,001 - I,110 - I,101 - I,110 - I,100 - I
,3.0,"(1, 2, 3)","[(235, 52), (10, 78), (73, 119)]",101 - I,101 - I,101 - I,101 - I,010 - I,010 - I,010 - I,010 - I
,3.0,"(2, 3, 5)","[(10, 78), (73, 119), (65, 164)]",010 - I,011 - I,011 - I,010 - I,101 - I,100 - I,100 - I,101 - I
,3.0,"(2, 5, 7)","[(10, 78), (65, 164), (86, 203)]",001 - I,011 - I,010 - I,001 - I,110 - I,101 - I,100 - I,110 - I
,3.0,"(5, 6, 7)","[(65, 164), (123, 182), (86, 203)]",011 - I,101 - I,110 - I,001 - I,110 - I,001 - I,010 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(245, 185), (235, 52), (10, 78), (73, 119)]",0101 - B,0101 - B,0101 - B,0101 - B,1010 - B,1010 - B,1010 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(245, 185), (235, 52), (73, 119), (92, 149)]",0110 - B,0110 - B,0110 - B,0111 - I,1000 - I,1001 - B,1001 - B,1001 - B
,4.0,"(0, 1, 3, 6)","[(245, 185), (235, 52), (73, 119), (123, 182)]",0111 - I,0110 - B,0111 - I,0110 - B,1001 - B,1000 - I,1001 - B,1000 - I
,4.0,"(0, 1, 4, 6)","[(245, 185), (235, 52), (92, 149), (123, 182)]",0101 - B,0100 - I,0101 - B,0110 - B,1001 - B,1010 - B,1011 - I,1010 - B
,4.0,"(0, 1, 6, 7)","[(245, 185), (235, 52), (123, 182), (86, 203)]",0111 - I,0101 - B,0110 - B,0101 - B,1010 - B,1001 - B,1010 - B,1000 - I
,4.0,"(0, 4, 6, 7)","[(245, 185), (92, 149), (123, 182), (86, 203)]",0011 - B,0001 - I,0010 - I,0101 - B,1010 - B,1101 - I,1110 - I,1100 - B
,4.0,"(0, 5, 6, 7)","[(245, 185), (65, 164), (123, 182), (86, 203)]",0011 - B,0101 - B,0110 - B,0001 - I,1110 - I,1001 - B,1010 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,,,
