PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,01011010,10100101,10110010
"(47, 31)",2.0,"(0, 1)","[(47, 31), (116, 224)]",01 - B,01 - B,10 - B,10 - B
"(116, 224)",2.0,"(0, 4)","[(47, 31), (127, 130)]",01 - B,01 - B,10 - B,10 - B
"(165, 187)",2.0,"(0, 6)","[(47, 31), (179, 156)]",00 - M,01 - B,10 - B,11 - M
"(170, 189)",2.0,"(0, 7)","[(47, 31), (208, 175)]",01 - B,00 - M,11 - M,10 - B
"(127, 130)",2.0,"(1, 2)","[(116, 224), (165, 187)]",10 - B,10 - B,01 - B,01 - B
"(168, 174)",2.0,"(1, 3)","[(116, 224), (170, 189)]",10 - B,11 - M,00 - M,01 - B
"(179, 156)",2.0,"(1, 7)","[(116, 224), (208, 175)]",11 - M,10 - B,01 - B,00 - M
"(208, 175)",2.0,"(3, 7)","[(170, 189), (208, 175)]",01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(179, 156), (208, 175)]",01 - B,10 - B,01 - B,10 - B
,3.0,"(0, 1, 2)","[(47, 31), (116, 224), (165, 187)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 4)","[(47, 31), (116, 224), (127, 130)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(0, 4, 6)","[(47, 31), (127, 130), (179, 156)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 6, 7)","[(47, 31), (179, 156), (208, 175)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(1, 2, 3)","[(116, 224), (165, 187), (170, 189)]",100 - I,101 - I,010 - I,011 - I
,3.0,"(1, 3, 7)","[(116, 224), (170, 189), (208, 175)]",101 - I,110 - I,001 - I,010 - I
,3.0,"(2, 3, 7)","[(165, 187), (170, 189), (208, 175)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(3, 6, 7)","[(170, 189), (179, 156), (208, 175)]",001 - I,110 - I,001 - I,110 - I
,3.0,"(5, 6, 7)","[(168, 174), (179, 156), (208, 175)]",101 - I,010 - I,101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(47, 31), (116, 224), (165, 187), (170, 189)]",0100 - I,0101 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(47, 31), (116, 224), (165, 187), (127, 130)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 4, 5)","[(47, 31), (116, 224), (127, 130), (168, 174)]",0111 - I,0110 - B,1001 - B,1000 - I
,4.0,"(0, 1, 4, 6)","[(47, 31), (116, 224), (127, 130), (179, 156)]",0110 - B,0111 - I,1000 - I,1001 - B
,4.0,"(0, 4, 5, 6)","[(47, 31), (127, 130), (168, 174), (179, 156)]",0110 - B,0101 - B,1010 - B,1001 - B
,4.0,"(0, 4, 6, 7)","[(47, 31), (127, 130), (179, 156), (208, 175)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(47, 31), (168, 174), (179, 156), (208, 175)]",0101 - B,0010 - I,1101 - I,1010 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
