PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01011001,10100110,10101100
"(232, 247)",2.0,"(0, 1)","[(232, 247), (248, 65)]",01 - B,01 - B,10 - B,10 - B
"(248, 65)",2.0,"(0, 6)","[(232, 247), (171, 207)]",01 - B,00 - M,11 - M,10 - B
"(5, 1)",2.0,"(0, 7)","[(232, 247), (13, 131)]",01 - B,01 - B,10 - B,10 - B
"(44, 63)",2.0,"(1, 2)","[(248, 65), (5, 1)]",10 - B,10 - B,01 - B,01 - B
"(67, 109)",2.0,"(2, 3)","[(5, 1), (44, 63)]",01 - B,01 - B,10 - B,10 - B
"(39, 97)",2.0,"(2, 7)","[(5, 1), (13, 131)]",01 - B,01 - B,10 - B,10 - B
"(171, 207)",2.0,"(5, 7)","[(39, 97), (13, 131)]",01 - B,01 - B,10 - B,10 - B
"(13, 131)",2.0,"(6, 7)","[(171, 207), (13, 131)]",11 - M,01 - B,10 - B,00 - M
,3.0,"(0, 1, 2)","[(232, 247), (248, 65), (5, 1)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(0, 1, 6)","[(232, 247), (248, 65), (171, 207)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(0, 6, 7)","[(232, 247), (171, 207), (13, 131)]",011 - I,001 - I,110 - I,100 - I
,3.0,"(1, 2, 3)","[(248, 65), (5, 1), (44, 63)]",101 - I,101 - I,010 - I,010 - I
,3.0,"(2, 3, 5)","[(5, 1), (44, 63), (39, 97)]",010 - I,010 - I,101 - I,101 - I
,3.0,"(2, 3, 7)","[(5, 1), (44, 63), (13, 131)]",011 - I,011 - I,100 - I,100 - I
,3.0,"(2, 5, 7)","[(5, 1), (39, 97), (13, 131)]",001 - I,001 - I,110 - I,110 - I
,3.0,"(4, 5, 7)","[(67, 109), (39, 97), (13, 131)]",001 - I,101 - I,010 - I,110 - I
,3.0,"(5, 6, 7)","[(39, 97), (171, 207), (13, 131)]",011 - I,001 - I,110 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(232, 247), (248, 65), (5, 1), (44, 63)]",0101 - B,0101 - B,1010 - B,1010 - B
,4.0,"(0, 1, 2, 6)","[(232, 247), (248, 65), (5, 1), (171, 207)]",0101 - B,0100 - I,1011 - I,1010 - B
,4.0,"(0, 1, 3, 6)","[(232, 247), (248, 65), (44, 63), (171, 207)]",0111 - I,0110 - B,1001 - B,1000 - I
,4.0,"(0, 1, 4, 6)","[(232, 247), (248, 65), (67, 109), (171, 207)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 1, 6, 7)","[(232, 247), (248, 65), (171, 207), (13, 131)]",0111 - I,0101 - B,1010 - B,1000 - I
,4.0,"(0, 4, 6, 7)","[(232, 247), (67, 109), (171, 207), (13, 131)]",0011 - B,0101 - B,1010 - B,1100 - B
,4.0,"(0, 5, 6, 7)","[(232, 247), (39, 97), (171, 207), (13, 131)]",0011 - B,0001 - I,1110 - I,1100 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
