PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,10110010
"(85, 211)",2.0,"(0, 1)","[(85, 211), (240, 137)]",01 - B,10 - B
"(240, 137)",2.0,"(0, 4)","[(85, 211), (90, 183)]",01 - B,10 - B
"(147, 135)",2.0,"(0, 7)","[(85, 211), (12, 45)]",01 - B,10 - B
"(136, 111)",2.0,"(1, 2)","[(240, 137), (147, 135)]",10 - B,01 - B
"(90, 183)",2.0,"(1, 3)","[(240, 137), (136, 111)]",10 - B,01 - B
"(86, 150)",2.0,"(1, 7)","[(240, 137), (12, 45)]",11 - M,00 - M
"(71, 112)",2.0,"(3, 7)","[(136, 111), (12, 45)]",01 - B,10 - B
"(12, 45)",2.0,"(6, 7)","[(71, 112), (12, 45)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(85, 211), (240, 137), (147, 135)]",010 - I,101 - I
,3.0,"(0, 1, 4)","[(85, 211), (240, 137), (90, 183)]",011 - I,100 - I
,3.0,"(0, 4, 5)","[(85, 211), (90, 183), (86, 150)]",011 - I,100 - I
,3.0,"(0, 4, 7)","[(85, 211), (90, 183), (12, 45)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(85, 211), (71, 112), (12, 45)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(240, 137), (147, 135), (136, 111)]",100 - I,011 - I
,3.0,"(1, 3, 7)","[(240, 137), (136, 111), (12, 45)]",101 - I,010 - I
,3.0,"(3, 6, 7)","[(136, 111), (71, 112), (12, 45)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(86, 150), (71, 112), (12, 45)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(85, 211), (240, 137), (147, 135), (136, 111)]",0100 - I,1011 - I
,4.0,"(0, 1, 2, 4)","[(85, 211), (240, 137), (147, 135), (90, 183)]",0101 - B,1010 - B
,4.0,"(0, 1, 4, 5)","[(85, 211), (240, 137), (90, 183), (86, 150)]",0111 - I,1000 - I
,4.0,"(0, 2, 4, 5)","[(85, 211), (147, 135), (90, 183), (86, 150)]",0011 - B,1100 - B
,4.0,"(0, 4, 5, 6)","[(85, 211), (90, 183), (86, 150), (71, 112)]",0110 - B,1001 - B
,4.0,"(0, 4, 5, 7)","[(85, 211), (90, 183), (86, 150), (12, 45)]",0111 - I,1000 - I
,4.0,"(0, 4, 6, 7)","[(85, 211), (90, 183), (71, 112), (12, 45)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(85, 211), (86, 150), (71, 112), (12, 45)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
