PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(248, 167)",2.0,"(0, 1)","[(248, 167), (149, 25)]",01 - B,10 - B
"(149, 25)",2.0,"(0, 5)","[(248, 167), (160, 210)]",01 - B,10 - B
"(8, 135)",2.0,"(0, 7)","[(248, 167), (159, 231)]",01 - B,10 - B
"(29, 140)",2.0,"(1, 2)","[(149, 25), (8, 135)]",10 - B,01 - B
"(115, 182)",2.0,"(2, 3)","[(8, 135), (29, 140)]",01 - B,10 - B
"(160, 210)",2.0,"(2, 7)","[(8, 135), (159, 231)]",01 - B,10 - B
"(153, 217)",2.0,"(6, 7)","[(153, 217), (159, 231)]",01 - B,10 - B
"(159, 231)",3.0,"(0, 1, 2)","[(248, 167), (149, 25), (8, 135)]",010 - I,101 - I
,3.0,"(0, 1, 3)","[(248, 167), (149, 25), (29, 140)]",011 - I,100 - I
,3.0,"(0, 1, 4)","[(248, 167), (149, 25), (115, 182)]",010 - I,101 - I
,3.0,"(0, 1, 5)","[(248, 167), (149, 25), (160, 210)]",011 - I,100 - I
,3.0,"(0, 5, 7)","[(248, 167), (160, 210), (159, 231)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(248, 167), (153, 217), (159, 231)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(149, 25), (8, 135), (29, 140)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(8, 135), (29, 140), (115, 182)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(8, 135), (29, 140), (159, 231)]",011 - I,100 - I
,3.0,"(2, 6, 7)","[(8, 135), (153, 217), (159, 231)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(160, 210), (153, 217), (159, 231)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(248, 167), (149, 25), (8, 135), (29, 140)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(248, 167), (149, 25), (29, 140), (115, 182)]",0110 - B,1001 - B
,4.0,"(0, 1, 4, 5)","[(248, 167), (149, 25), (115, 182), (160, 210)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 6)","[(248, 167), (149, 25), (160, 210), (153, 217)]",0110 - B,1001 - B
,4.0,"(0, 1, 5, 7)","[(248, 167), (149, 25), (160, 210), (159, 231)]",0111 - I,1000 - I
,4.0,"(0, 5, 6, 7)","[(248, 167), (160, 210), (153, 217), (159, 231)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
