PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,10101100
"(49, 214)",2.0,"(0, 1)","[(49, 214), (219, 144)]",01 - B,10 - B
"(219, 144)",2.0,"(0, 3)","[(49, 214), (118, 150)]",01 - B,10 - B
"(166, 125)",2.0,"(0, 6)","[(49, 214), (50, 117)]",01 - B,10 - B
"(118, 150)",2.0,"(0, 7)","[(49, 214), (36, 34)]",01 - B,10 - B
"(120, 138)",2.0,"(1, 2)","[(219, 144), (166, 125)]",10 - B,01 - B
"(61, 108)",2.0,"(1, 7)","[(219, 144), (36, 34)]",11 - M,00 - M
"(50, 117)",2.0,"(2, 7)","[(166, 125), (36, 34)]",01 - B,10 - B
"(36, 34)",2.0,"(5, 7)","[(61, 108), (36, 34)]",01 - B,10 - B
,2.0,"(6, 7)","[(50, 117), (36, 34)]",11 - M,00 - M
,3.0,"(0, 1, 2)","[(49, 214), (219, 144), (166, 125)]",010 - I,101 - I
,3.0,"(0, 1, 3)","[(49, 214), (219, 144), (118, 150)]",011 - I,100 - I
,3.0,"(0, 3, 4)","[(49, 214), (118, 150), (120, 138)]",010 - I,101 - I
,3.0,"(0, 3, 6)","[(49, 214), (118, 150), (50, 117)]",011 - I,100 - I
,3.0,"(0, 5, 6)","[(49, 214), (61, 108), (50, 117)]",001 - I,110 - I
,3.0,"(0, 6, 7)","[(49, 214), (50, 117), (36, 34)]",011 - I,100 - I
,3.0,"(1, 2, 3)","[(219, 144), (166, 125), (118, 150)]",101 - I,010 - I
,3.0,"(1, 2, 4)","[(219, 144), (166, 125), (120, 138)]",100 - I,011 - I
,3.0,"(1, 2, 7)","[(219, 144), (166, 125), (36, 34)]",101 - I,010 - I
,3.0,"(2, 5, 7)","[(166, 125), (61, 108), (36, 34)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(61, 108), (50, 117), (36, 34)]",011 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(49, 214), (219, 144), (166, 125), (118, 150)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(49, 214), (219, 144), (118, 150), (120, 138)]",0110 - B,1001 - B
,4.0,"(0, 3, 4, 6)","[(49, 214), (118, 150), (120, 138), (50, 117)]",0101 - B,1010 - B
,4.0,"(0, 3, 5, 6)","[(49, 214), (118, 150), (61, 108), (50, 117)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(49, 214), (61, 108), (50, 117), (36, 34)]",0011 - B,1100 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
