PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,01011001,01100011,10011100,10100110,10110010
"(143, 156)",2.0,"(0, 1)","[(143, 156), (228, 169)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(228, 169)",2.0,"(0, 4)","[(143, 156), (145, 141)]",01 - B,01 - B,00 - M,11 - M,10 - B,10 - B
"(217, 145)",2.0,"(0, 7)","[(143, 156), (27, 87)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(214, 123)",2.0,"(1, 2)","[(228, 169), (217, 145)]",10 - B,10 - B,11 - M,00 - M,01 - B,01 - B
"(145, 141)",2.0,"(1, 3)","[(228, 169), (214, 123)]",10 - B,11 - M,10 - B,01 - B,00 - M,01 - B
"(142, 117)",2.0,"(2, 3)","[(217, 145), (214, 123)]",00 - M,01 - B,10 - B,01 - B,10 - B,11 - M
"(118, 119)",2.0,"(3, 5)","[(214, 123), (142, 117)]",01 - B,10 - B,00 - M,11 - M,01 - B,10 - B
"(27, 87)",2.0,"(3, 7)","[(214, 123), (27, 87)]",01 - B,11 - M,01 - B,10 - B,00 - M,10 - B
,2.0,"(5, 7)","[(142, 117), (27, 87)]",11 - M,01 - B,01 - B,10 - B,10 - B,00 - M
,2.0,"(6, 7)","[(118, 119), (27, 87)]",01 - B,01 - B,11 - M,00 - M,10 - B,10 - B
,3.0,"(0, 1, 2)","[(143, 156), (228, 169), (217, 145)]",010 - I,010 - I,011 - I,100 - I,101 - I,101 - I
,3.0,"(0, 1, 4)","[(143, 156), (228, 169), (145, 141)]",011 - I,011 - I,010 - I,101 - I,100 - I,100 - I
,3.0,"(0, 4, 7)","[(143, 156), (145, 141), (27, 87)]",011 - I,011 - I,001 - I,110 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(143, 156), (118, 119), (27, 87)]",001 - I,001 - I,011 - I,100 - I,110 - I,110 - I
,3.0,"(1, 2, 3)","[(228, 169), (217, 145), (214, 123)]",100 - I,101 - I,110 - I,001 - I,010 - I,011 - I
,3.0,"(2, 3, 5)","[(217, 145), (214, 123), (142, 117)]",001 - I,010 - I,100 - I,011 - I,101 - I,110 - I
,3.0,"(3, 5, 7)","[(214, 123), (142, 117), (27, 87)]",011 - I,101 - I,001 - I,110 - I,010 - I,100 - I
,3.0,"(5, 6, 7)","[(142, 117), (118, 119), (27, 87)]",101 - I,001 - I,011 - I,100 - I,110 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(143, 156), (228, 169), (217, 145), (214, 123)]",0100 - I,0101 - B,0110 - B,1001 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(143, 156), (228, 169), (217, 145), (145, 141)]",0101 - B,0101 - B,0110 - B,1001 - B,1010 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(143, 156), (228, 169), (145, 141), (118, 119)]",0110 - B,0110 - B,0101 - B,1010 - B,1001 - B,1001 - B
,4.0,"(0, 1, 4, 7)","[(143, 156), (228, 169), (145, 141), (27, 87)]",0111 - I,0111 - I,0101 - B,1010 - B,1000 - I,1000 - I
,4.0,"(0, 4, 6, 7)","[(143, 156), (145, 141), (118, 119), (27, 87)]",0101 - B,0101 - B,0011 - B,1100 - B,1010 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(143, 156), (142, 117), (118, 119), (27, 87)]",0101 - B,0001 - I,0011 - B,1100 - B,1110 - I,1010 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
