PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,01100011,10011100,10110010
"(25, 115)",2.0,"(0, 1)","[(25, 115), (184, 232)]",01 - B,01 - B,10 - B,10 - B
"(184, 232)",2.0,"(0, 4)","[(25, 115), (129, 110)]",01 - B,00 - M,11 - M,10 - B
"(205, 209)",2.0,"(0, 6)","[(25, 115), (132, 68)]",00 - M,01 - B,10 - B,11 - M
"(230, 193)",2.0,"(0, 7)","[(25, 115), (179, 23)]",01 - B,01 - B,10 - B,10 - B
"(129, 110)",2.0,"(1, 2)","[(184, 232), (205, 209)]",10 - B,11 - M,00 - M,01 - B
"(163, 83)",2.0,"(1, 3)","[(184, 232), (230, 193)]",10 - B,10 - B,01 - B,01 - B
"(132, 68)",2.0,"(2, 3)","[(205, 209), (230, 193)]",00 - M,10 - B,01 - B,11 - M
"(179, 23)",2.0,"(3, 7)","[(230, 193), (179, 23)]",01 - B,01 - B,10 - B,10 - B
,2.0,"(5, 7)","[(163, 83), (179, 23)]",11 - M,01 - B,10 - B,00 - M
,2.0,"(6, 7)","[(132, 68), (179, 23)]",01 - B,11 - M,00 - M,10 - B
,3.0,"(0, 1, 2)","[(25, 115), (184, 232), (205, 209)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 1, 4)","[(25, 115), (184, 232), (129, 110)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(0, 4, 6)","[(25, 115), (129, 110), (132, 68)]",010 - I,001 - I,110 - I,101 - I
,3.0,"(0, 6, 7)","[(25, 115), (132, 68), (179, 23)]",001 - I,011 - I,100 - I,110 - I
,3.0,"(1, 2, 3)","[(184, 232), (205, 209), (230, 193)]",100 - I,110 - I,001 - I,011 - I
,3.0,"(2, 3, 7)","[(205, 209), (230, 193), (179, 23)]",001 - I,101 - I,010 - I,110 - I
,3.0,"(3, 5, 7)","[(230, 193), (163, 83), (179, 23)]",011 - I,001 - I,110 - I,100 - I
,3.0,"(5, 6, 7)","[(163, 83), (132, 68), (179, 23)]",101 - I,011 - I,100 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(25, 115), (184, 232), (205, 209), (230, 193)]",0100 - I,0110 - B,1001 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(25, 115), (184, 232), (205, 209), (129, 110)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(25, 115), (184, 232), (129, 110), (132, 68)]",0110 - B,0101 - B,1010 - B,1001 - B
,4.0,"(0, 4, 5, 6)","[(25, 115), (129, 110), (163, 83), (132, 68)]",0110 - B,0001 - I,1110 - I,1001 - B
,4.0,"(0, 4, 6, 7)","[(25, 115), (129, 110), (132, 68), (179, 23)]",0101 - B,0011 - B,1100 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(25, 115), (163, 83), (132, 68), (179, 23)]",0101 - B,0011 - B,1100 - B,1010 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
