PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(19, 8)",2.0,"(0, 1)","[(19, 8), (10, 22)]",01 - B,10 - B
"(10, 22)",2.0,"(0, 7)","[(19, 8), (246, 15)]",01 - B,10 - B
"(184, 251)",2.0,"(1, 2)","[(10, 22), (184, 251)]",10 - B,01 - B
"(179, 211)",2.0,"(2, 3)","[(184, 251), (179, 211)]",01 - B,10 - B
"(171, 180)",2.0,"(2, 7)","[(184, 251), (246, 15)]",01 - B,10 - B
"(151, 132)",2.0,"(6, 7)","[(207, 54), (246, 15)]",01 - B,10 - B
"(207, 54)",3.0,"(0, 1, 2)","[(19, 8), (10, 22), (184, 251)]",010 - I,101 - I
"(246, 15)",3.0,"(0, 1, 5)","[(19, 8), (10, 22), (151, 132)]",011 - I,100 - I
,3.0,"(0, 1, 6)","[(19, 8), (10, 22), (207, 54)]",010 - I,101 - I
,3.0,"(0, 1, 7)","[(19, 8), (10, 22), (246, 15)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(19, 8), (207, 54), (246, 15)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(10, 22), (184, 251), (179, 211)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(184, 251), (179, 211), (171, 180)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(184, 251), (179, 211), (246, 15)]",011 - I,100 - I
,3.0,"(2, 6, 7)","[(184, 251), (207, 54), (246, 15)]",001 - I,110 - I
,3.0,"(3, 6, 7)","[(179, 211), (207, 54), (246, 15)]",101 - I,010 - I
,3.0,"(4, 6, 7)","[(171, 180), (207, 54), (246, 15)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(151, 132), (207, 54), (246, 15)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(19, 8), (10, 22), (184, 251), (179, 211)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 5)","[(19, 8), (10, 22), (184, 251), (151, 132)]",0101 - B,1010 - B
,4.0,"(0, 1, 4, 5)","[(19, 8), (10, 22), (171, 180), (151, 132)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 6)","[(19, 8), (10, 22), (151, 132), (207, 54)]",0110 - B,1001 - B
,4.0,"(0, 1, 6, 7)","[(19, 8), (10, 22), (207, 54), (246, 15)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(19, 8), (151, 132), (207, 54), (246, 15)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
