PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(176, 208)",2.0,"(0, 1)","[(176, 208), (242, 179)]",01 - B,10 - B
"(242, 179)",2.0,"(0, 7)","[(176, 208), (6, 188)]",01 - B,10 - B
"(250, 121)",2.0,"(1, 2)","[(242, 179), (250, 121)]",10 - B,01 - B
"(230, 77)",2.0,"(2, 3)","[(250, 121), (230, 77)]",01 - B,10 - B
"(32, 41)",2.0,"(3, 4)","[(230, 77), (32, 41)]",10 - B,01 - B
"(58, 106)",2.0,"(4, 5)","[(32, 41), (58, 106)]",01 - B,10 - B
"(54, 135)",2.0,"(4, 7)","[(32, 41), (6, 188)]",01 - B,10 - B
"(6, 188)",2.0,"(6, 7)","[(54, 135), (6, 188)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(176, 208), (242, 179), (250, 121)]",010 - I,101 - I
,3.0,"(0, 1, 7)","[(176, 208), (242, 179), (6, 188)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(176, 208), (54, 135), (6, 188)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(242, 179), (250, 121), (230, 77)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(250, 121), (230, 77), (32, 41)]",010 - I,101 - I
,3.0,"(3, 4, 5)","[(230, 77), (32, 41), (58, 106)]",101 - I,010 - I
,3.0,"(4, 5, 6)","[(32, 41), (58, 106), (54, 135)]",010 - I,101 - I
,3.0,"(4, 5, 7)","[(32, 41), (58, 106), (6, 188)]",011 - I,100 - I
,3.0,"(4, 6, 7)","[(32, 41), (54, 135), (6, 188)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(58, 106), (54, 135), (6, 188)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(176, 208), (242, 179), (250, 121), (230, 77)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 7)","[(176, 208), (242, 179), (250, 121), (6, 188)]",0101 - B,1010 - B
,4.0,"(0, 1, 6, 7)","[(176, 208), (242, 179), (54, 135), (6, 188)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(176, 208), (58, 106), (54, 135), (6, 188)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
