PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(177, 55)",2.0,"(0, 1)","[(177, 55), (20, 177)]",01 - B,10 - B
"(20, 177)",2.0,"(0, 3)","[(177, 55), (128, 121)]",01 - B,10 - B
"(82, 170)",2.0,"(0, 7)","[(177, 55), (250, 113)]",01 - B,10 - B
"(128, 121)",2.0,"(1, 2)","[(20, 177), (82, 170)]",10 - B,01 - B
"(81, 201)",2.0,"(1, 4)","[(20, 177), (81, 201)]",10 - B,01 - B
"(109, 172)",2.0,"(4, 5)","[(81, 201), (109, 172)]",01 - B,10 - B
"(168, 127)",2.0,"(4, 7)","[(81, 201), (250, 113)]",01 - B,10 - B
"(250, 113)",2.0,"(6, 7)","[(168, 127), (250, 113)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(177, 55), (20, 177), (82, 170)]",010 - I,101 - I
,3.0,"(0, 1, 3)","[(177, 55), (20, 177), (128, 121)]",011 - I,100 - I
,3.0,"(0, 3, 6)","[(177, 55), (128, 121), (168, 127)]",010 - I,101 - I
,3.0,"(0, 3, 7)","[(177, 55), (128, 121), (250, 113)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(177, 55), (168, 127), (250, 113)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(20, 177), (82, 170), (128, 121)]",101 - I,010 - I
,3.0,"(1, 2, 4)","[(20, 177), (82, 170), (81, 201)]",100 - I,011 - I
,3.0,"(1, 4, 5)","[(20, 177), (81, 201), (109, 172)]",101 - I,010 - I
,3.0,"(2, 4, 5)","[(82, 170), (81, 201), (109, 172)]",001 - I,110 - I
,3.0,"(4, 5, 7)","[(81, 201), (109, 172), (250, 113)]",011 - I,100 - I
,3.0,"(4, 6, 7)","[(81, 201), (168, 127), (250, 113)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(109, 172), (168, 127), (250, 113)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(177, 55), (20, 177), (82, 170), (128, 121)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 6)","[(177, 55), (20, 177), (128, 121), (168, 127)]",0110 - B,1001 - B
,4.0,"(0, 3, 6, 7)","[(177, 55), (128, 121), (168, 127), (250, 113)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(177, 55), (109, 172), (168, 127), (250, 113)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
