PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(220, 243)",2.0,"(0, 1)","[(220, 243), (221, 3)]",01 - B,10 - B
"(221, 3)",2.0,"(0, 5)","[(220, 243), (188, 235)]",01 - B,10 - B
"(40, 95)",2.0,"(0, 7)","[(220, 243), (101, 252)]",01 - B,10 - B
"(82, 153)",2.0,"(1, 2)","[(221, 3), (40, 95)]",10 - B,01 - B
"(92, 178)",2.0,"(2, 3)","[(40, 95), (82, 153)]",01 - B,10 - B
"(188, 235)",2.0,"(2, 7)","[(40, 95), (101, 252)]",01 - B,10 - B
"(168, 234)",2.0,"(4, 7)","[(92, 178), (101, 252)]",01 - B,10 - B
"(101, 252)",2.0,"(6, 7)","[(168, 234), (101, 252)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(220, 243), (221, 3), (40, 95)]",010 - I,101 - I
,3.0,"(0, 1, 5)","[(220, 243), (221, 3), (188, 235)]",011 - I,100 - I
,3.0,"(0, 5, 6)","[(220, 243), (188, 235), (168, 234)]",010 - I,101 - I
,3.0,"(0, 5, 7)","[(220, 243), (188, 235), (101, 252)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(220, 243), (168, 234), (101, 252)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(221, 3), (40, 95), (82, 153)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(40, 95), (82, 153), (92, 178)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(40, 95), (82, 153), (101, 252)]",011 - I,100 - I
,3.0,"(2, 4, 7)","[(40, 95), (92, 178), (101, 252)]",001 - I,110 - I
,3.0,"(3, 4, 7)","[(82, 153), (92, 178), (101, 252)]",101 - I,010 - I
,3.0,"(4, 6, 7)","[(92, 178), (168, 234), (101, 252)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(188, 235), (168, 234), (101, 252)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(220, 243), (221, 3), (40, 95), (82, 153)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 5)","[(220, 243), (221, 3), (40, 95), (188, 235)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 6)","[(220, 243), (221, 3), (188, 235), (168, 234)]",0110 - B,1001 - B
,4.0,"(0, 5, 6, 7)","[(220, 243), (188, 235), (168, 234), (101, 252)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
