PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(24, 238)",2.0,"(0, 1)","[(24, 238), (91, 229)]",01 - B,10 - B
"(91, 229)",2.0,"(0, 7)","[(24, 238), (16, 17)]",01 - B,10 - B
"(243, 195)",2.0,"(1, 2)","[(91, 229), (243, 195)]",10 - B,01 - B
"(208, 194)",2.0,"(2, 3)","[(243, 195), (208, 194)]",01 - B,10 - B
"(191, 183)",2.0,"(2, 7)","[(243, 195), (16, 17)]",01 - B,10 - B
"(177, 185)",2.0,"(4, 7)","[(191, 183), (16, 17)]",01 - B,10 - B
"(106, 180)",2.0,"(6, 7)","[(106, 180), (16, 17)]",01 - B,10 - B
"(16, 17)",3.0,"(0, 1, 2)","[(24, 238), (91, 229), (243, 195)]",010 - I,101 - I
,3.0,"(0, 1, 3)","[(24, 238), (91, 229), (208, 194)]",011 - I,100 - I
,3.0,"(0, 1, 6)","[(24, 238), (91, 229), (106, 180)]",010 - I,101 - I
,3.0,"(0, 1, 7)","[(24, 238), (91, 229), (16, 17)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(24, 238), (106, 180), (16, 17)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(91, 229), (243, 195), (208, 194)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(243, 195), (208, 194), (191, 183)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(243, 195), (208, 194), (16, 17)]",011 - I,100 - I
,3.0,"(2, 4, 7)","[(243, 195), (191, 183), (16, 17)]",001 - I,110 - I
,3.0,"(4, 5, 7)","[(191, 183), (177, 185), (16, 17)]",011 - I,100 - I
,3.0,"(4, 6, 7)","[(191, 183), (106, 180), (16, 17)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(177, 185), (106, 180), (16, 17)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(24, 238), (91, 229), (243, 195), (208, 194)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 6)","[(24, 238), (91, 229), (208, 194), (106, 180)]",0110 - B,1001 - B
,4.0,"(0, 1, 5, 6)","[(24, 238), (91, 229), (177, 185), (106, 180)]",0110 - B,1001 - B
,4.0,"(0, 1, 6, 7)","[(24, 238), (91, 229), (106, 180), (16, 17)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(24, 238), (177, 185), (106, 180), (16, 17)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
