PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(201, 28)",2.0,"(0, 1)","[(201, 28), (84, 103)]",01 - B,10 - B
"(84, 103)",2.0,"(0, 7)","[(201, 28), (182, 145)]",01 - B,10 - B
"(45, 240)",2.0,"(1, 2)","[(84, 103), (45, 240)]",10 - B,01 - B
"(83, 192)",2.0,"(2, 3)","[(45, 240), (83, 192)]",01 - B,10 - B
"(136, 133)",2.0,"(2, 7)","[(45, 240), (182, 145)]",01 - B,10 - B
"(138, 150)",2.0,"(6, 7)","[(135, 165), (182, 145)]",01 - B,10 - B
"(135, 165)",3.0,"(0, 1, 2)","[(201, 28), (84, 103), (45, 240)]",010 - I,101 - I
"(182, 145)",3.0,"(0, 1, 3)","[(201, 28), (84, 103), (83, 192)]",011 - I,100 - I
,3.0,"(0, 1, 4)","[(201, 28), (84, 103), (136, 133)]",010 - I,101 - I
,3.0,"(0, 1, 7)","[(201, 28), (84, 103), (182, 145)]",011 - I,100 - I
,3.0,"(0, 4, 7)","[(201, 28), (136, 133), (182, 145)]",001 - I,110 - I
,3.0,"(0, 5, 7)","[(201, 28), (138, 150), (182, 145)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(201, 28), (135, 165), (182, 145)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(84, 103), (45, 240), (83, 192)]",101 - I,010 - I
,3.0,"(2, 3, 6)","[(45, 240), (83, 192), (135, 165)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(45, 240), (83, 192), (182, 145)]",011 - I,100 - I
,3.0,"(2, 6, 7)","[(45, 240), (135, 165), (182, 145)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(138, 150), (135, 165), (182, 145)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(201, 28), (84, 103), (45, 240), (83, 192)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(201, 28), (84, 103), (83, 192), (136, 133)]",0110 - B,1001 - B
,4.0,"(0, 1, 4, 5)","[(201, 28), (84, 103), (136, 133), (138, 150)]",0101 - B,1010 - B
,4.0,"(0, 1, 4, 7)","[(201, 28), (84, 103), (136, 133), (182, 145)]",0101 - B,1010 - B
,4.0,"(0, 4, 5, 7)","[(201, 28), (136, 133), (138, 150), (182, 145)]",0011 - B,1100 - B
,4.0,"(0, 5, 6, 7)","[(201, 28), (138, 150), (135, 165), (182, 145)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
