PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(114, 4)",2.0,"(0, 1)","[(114, 4), (40, 106)]",01 - B,10 - B
"(40, 106)",2.0,"(0, 7)","[(114, 4), (239, 223)]",01 - B,10 - B
"(17, 251)",2.0,"(1, 2)","[(40, 106), (17, 251)]",10 - B,01 - B
"(36, 210)",2.0,"(2, 3)","[(17, 251), (36, 210)]",01 - B,10 - B
"(106, 211)",2.0,"(2, 7)","[(17, 251), (239, 223)]",01 - B,10 - B
"(172, 208)",2.0,"(6, 7)","[(198, 204), (239, 223)]",01 - B,10 - B
"(198, 204)",3.0,"(0, 1, 2)","[(114, 4), (40, 106), (17, 251)]",010 - I,101 - I
"(239, 223)",3.0,"(0, 1, 3)","[(114, 4), (40, 106), (36, 210)]",011 - I,100 - I
,3.0,"(0, 1, 6)","[(114, 4), (40, 106), (198, 204)]",010 - I,101 - I
,3.0,"(0, 1, 7)","[(114, 4), (40, 106), (239, 223)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(114, 4), (198, 204), (239, 223)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(40, 106), (17, 251), (36, 210)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(17, 251), (36, 210), (106, 211)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(17, 251), (36, 210), (239, 223)]",011 - I,100 - I
,3.0,"(2, 4, 7)","[(17, 251), (106, 211), (239, 223)]",001 - I,110 - I
,3.0,"(2, 5, 7)","[(17, 251), (172, 208), (239, 223)]",011 - I,100 - I
,3.0,"(2, 6, 7)","[(17, 251), (198, 204), (239, 223)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(172, 208), (198, 204), (239, 223)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(114, 4), (40, 106), (17, 251), (36, 210)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(114, 4), (40, 106), (36, 210), (106, 211)]",0110 - B,1001 - B
,4.0,"(0, 1, 3, 6)","[(114, 4), (40, 106), (36, 210), (198, 204)]",0110 - B,1001 - B
,4.0,"(0, 1, 5, 6)","[(114, 4), (40, 106), (172, 208), (198, 204)]",0110 - B,1001 - B
,4.0,"(0, 1, 6, 7)","[(114, 4), (40, 106), (198, 204), (239, 223)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(114, 4), (172, 208), (198, 204), (239, 223)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
