PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(28, 151)",2.0,"(0, 1)","[(28, 151), (223, 178)]",01 - B,10 - B
"(223, 178)",2.0,"(0, 5)","[(28, 151), (26, 129)]",01 - B,10 - B
"(226, 148)",2.0,"(0, 7)","[(28, 151), (1, 78)]",01 - B,10 - B
"(235, 126)",2.0,"(1, 2)","[(223, 178), (226, 148)]",10 - B,01 - B
"(254, 101)",2.0,"(1, 4)","[(223, 178), (254, 101)]",10 - B,01 - B
"(26, 129)",2.0,"(3, 4)","[(235, 126), (254, 101)]",10 - B,01 - B
"(20, 108)",2.0,"(4, 7)","[(254, 101), (1, 78)]",01 - B,10 - B
"(1, 78)",2.0,"(6, 7)","[(20, 108), (1, 78)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(28, 151), (223, 178), (226, 148)]",010 - I,101 - I
,3.0,"(0, 1, 5)","[(28, 151), (223, 178), (26, 129)]",011 - I,100 - I
,3.0,"(0, 5, 6)","[(28, 151), (26, 129), (20, 108)]",010 - I,101 - I
,3.0,"(0, 5, 7)","[(28, 151), (26, 129), (1, 78)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(28, 151), (20, 108), (1, 78)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(223, 178), (226, 148), (235, 126)]",101 - I,010 - I
,3.0,"(1, 2, 4)","[(223, 178), (226, 148), (254, 101)]",100 - I,011 - I
,3.0,"(1, 3, 4)","[(223, 178), (235, 126), (254, 101)]",110 - I,001 - I
,3.0,"(2, 3, 4)","[(226, 148), (235, 126), (254, 101)]",010 - I,101 - I
,3.0,"(3, 4, 7)","[(235, 126), (254, 101), (1, 78)]",101 - I,010 - I
,3.0,"(4, 6, 7)","[(254, 101), (20, 108), (1, 78)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(26, 129), (20, 108), (1, 78)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(28, 151), (223, 178), (226, 148), (235, 126)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 5)","[(28, 151), (223, 178), (226, 148), (26, 129)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 6)","[(28, 151), (223, 178), (26, 129), (20, 108)]",0110 - B,1001 - B
,4.0,"(0, 5, 6, 7)","[(28, 151), (26, 129), (20, 108), (1, 78)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
